epoch,accuracy,loss,val_accuracy,val_loss
0,0.36202600598335266,1.3348586559295654,0.46685880422592163,1.271482229232788
1,0.6260725259780884,1.0128663778305054,0.6455331444740295,0.932417631149292
2,0.7899252772331238,0.5960951447486877,0.6945244669914246,0.8041682839393616
3,0.845004141330719,0.4134277403354645,0.680115282535553,0.8160387277603149
4,0.8898422122001648,0.3185965120792389,0.6916426420211792,0.82271808385849
5,0.9106006026268005,0.25902360677719116,0.6743515729904175,0.8856044411659241
6,0.9338499903678894,0.20609694719314575,0.6657060384750366,0.9552647471427917
7,0.9465817809104919,0.17491093277931213,0.680115282535553,0.9980310201644897
8,0.9579296708106995,0.14504386484622955,0.6685879230499268,1.0674227476119995
9,0.9587600231170654,0.1372588574886322,0.6657060384750366,1.1374375820159912
10,0.9648491740226746,0.11516453325748444,0.6599423885345459,1.1600779294967651
11,0.9701079726219177,0.10107089579105377,0.6685879230499268,1.2716280221939087
12,0.9676169157028198,0.10260607302188873,0.651296854019165,1.3227934837341309
13,0.9723221659660339,0.09029628336429596,0.6570605039596558,1.4150567054748535
14,0.9717686176300049,0.09295421093702316,0.6570605039596558,1.3982069492340088
15,0.973706066608429,0.08955951035022736,0.6541786789894104,1.4174565076828003
16,0.9731525182723999,0.0871722549200058,0.6570605039596558,1.4292899370193481
17,0.974259614944458,0.07436199486255646,0.6455331444740295,1.535703420639038
18,0.973429262638092,0.0808364674448967,0.651296854019165,1.5003111362457275
19,0.975643515586853,0.07416073232889175,0.639769434928894,1.551975965499878
20,0.9748131632804871,0.07292278856039047,0.6541786789894104,1.5603231191635132
21,0.9767506122589111,0.06699215620756149,0.6599423885345459,1.6341253519058228
22,0.977027416229248,0.06986033916473389,0.6484149694442749,1.61128568649292
23,0.976473867893219,0.06524015963077545,0.6340057849884033,1.6201257705688477
24,0.9753667116165161,0.07074162364006042,0.6570605039596558,1.5869994163513184
